20,0.24726,0.13239,-0.08277
40,0.2552,0.16771,0.033276
60,0.25127,0.17283,0.012716
80,0.25033,0.17516,0.082276
100,0.24427,0.17366,0.08462
120,0.24271,0.17457,0.097837
140,0.25547,0.18612,0.10257
160,0.23499,0.18291,0.10409
180,0.23961,0.18472,0.10773
200,0.24407,0.19202,0.12326
220,0.23532,0.19113,0.10805
240,0.24452,0.18968,0.12953
260,0.24112,0.18687,0.13095
280,0.24093,0.18976,0.12821
300,0.23564,0.19456,0.13974
320,0.23299,0.18804,0.12078
400,0.23776,0.19233,0.11603
480,0.23853,0.1902,0.14271
560,0.22789,0.19209,0.15147
640,0.23968,0.19378,0.14426
720,0.23851,0.19601,0.15865
800,0.22644,0.19018,0.13988
880,0.22783,0.19141,0.15287
960,0.22988,0.19255,0.15316
1040,0.23143,0.19207,0.15165
1120,0.22931,0.19031,0.15569
1200,0.22889,0.1926,0.14965
1280,0.22579,0.19262,0.15004
1360,0.22308,0.19083,0.15397
1440,0.22327,0.19194,0.16162
