20,0.33634,0.2116,0.028623
40,0.37465,0.2819,0.066934
60,0.40992,0.29396,0.15663
80,0.42028,0.32902,0.21687
100,0.41154,0.34578,0.241
120,0.43199,0.36307,0.25886
140,0.43536,0.37037,0.27102
160,0.43245,0.3762,0.26442
180,0.434,0.37528,0.27415
200,0.44393,0.38533,0.30787
220,0.43782,0.40119,0.32323
240,0.43999,0.40059,0.33255
260,0.45088,0.40048,0.33452
280,0.45042,0.40478,0.32568
300,0.4503,0.40989,0.35253
320,0.46084,0.41703,0.35694
400,0.47159,0.428,0.37063
480,0.46602,0.42924,0.38374
560,0.47201,0.44092,0.39876
640,0.4704,0.4405,0.3999
720,0.4808,0.44746,0.41432
800,0.47495,0.44813,0.41209
880,0.47482,0.44688,0.41158
960,0.48305,0.44927,0.41495
1040,0.47526,0.44947,0.4214
1120,0.48065,0.44715,0.41473
1200,0.48051,0.45107,0.42099
1280,0.47553,0.44652,0.41251
1360,0.46799,0.44137,0.41776
1440,0.46758,0.44626,0.42191
