20,0.35233,0.21775,0.060078
40,0.39357,0.29388,0.16009
60,0.40354,0.34155,0.21696
80,0.42992,0.35914,0.24863
100,0.44423,0.38131,0.30952
120,0.45368,0.3912,0.32846
140,0.45673,0.39811,0.31849
160,0.4578,0.40841,0.34496
180,0.45863,0.40913,0.32896
200,0.46007,0.4102,0.36503
220,0.45805,0.41449,0.36618
240,0.47105,0.41926,0.36604
260,0.46483,0.42096,0.36578
280,0.45955,0.42211,0.37558
300,0.46125,0.42415,0.37514
320,0.47878,0.42523,0.37315
400,0.47141,0.42934,0.37875
480,0.45847,0.42808,0.38791
560,0.46461,0.42463,0.38523
640,0.46634,0.42468,0.38504
720,0.4506,0.4178,0.38134
800,0.43995,0.41222,0.37072
880,0.45195,0.41534,0.38088
960,0.43595,0.40962,0.38043
1040,0.43732,0.40549,0.36965
1120,0.44077,0.40656,0.37031
1200,0.44197,0.39999,0.36021
1280,0.43211,0.40256,0.3733
1360,0.43107,0.40163,0.37407
1440,0.43516,0.39981,0.36027
