20,0.25425,0.17989,-0.084253
40,0.26515,0.18431,-0.016255
60,0.27011,0.19642,0.054517
80,0.279,0.21699,0.090175
100,0.28145,0.21939,0.13201
120,0.28232,0.22868,0.13439
140,0.29497,0.23935,0.15997
160,0.29891,0.23986,0.17835
180,0.29145,0.24494,0.17634
200,0.29751,0.2444,0.18349
220,0.29757,0.24902,0.18156
240,0.29791,0.25681,0.19315
260,0.30468,0.25638,0.20045
280,0.30768,0.2639,0.20733
300,0.30025,0.25796,0.21015
320,0.30029,0.25839,0.2138
400,0.29517,0.26046,0.20531
480,0.2999,0.26456,0.22472
560,0.29626,0.26433,0.22379
640,0.30539,0.26429,0.22726
720,0.30136,0.26699,0.22823
800,0.30425,0.26703,0.21983
880,0.30522,0.26513,0.22951
960,0.29472,0.26301,0.22952
1040,0.30373,0.26168,0.22724
1120,0.29665,0.2567,0.22369
1200,0.28943,0.2616,0.22787
1280,0.29293,0.25621,0.21634
1360,0.28612,0.25206,0.21451
1440,0.2832,0.25171,0.21955
