"month","country","NI_diff","F_I_BWP","F_I","GR_NCM_log_diff","code","sub_lineage","sub_redefine","sub_richness","sub_evenness","sub_richness_redefine","sub_evenness_redefine"
"2021-10","Serbia",223323,27.0317349840397,31.9531539809667,0.11441155871106,"SRB",1.74349679712677,1.74349679712677,8,0.838444727673526,8,0.838444727673526
"2021-11","Serbia",223323,27.8341500327601,33.1176957199496,-0.582754517771656,"SRB",1.81385629336607,1.81385629336607,9,0.825521574842877,9,0.825521574842877
"2021-12","Serbia",228662,27.3348885262959,34.2074554756939,-0.924001298394135,"SRB",1.91856008035822,1.91856008035822,9,0.873174321891195,9,0.873174321891195
"2022-01","Serbia",228662,25.5165459665071,34.9620624779869,2.14075339606431,"SRB",0.693147180559945,0.693147180559945,2,1,2,1
"2022-02","Serbia",228662,25.3583318995879,35.1846120185815,-0.484309922860259,"SRB",NA,NA,NA,NA,NA,NA
"2019-12","Singapore",-66181,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01","Singapore",-66181,0,0,NA,"SGP",NA,NA,NA,NA,NA,NA
"2020-02","Singapore",-66181,0,0,1.9236870122706,"SGP",NA,NA,NA,NA,NA,NA
"2020-03","Singapore",-66181,0,0,2.22553416017733,"SGP",1.1479403238438,1.1479403238438,3.35,0.958077503499503,3.35,0.958077503499503
"2020-04","Singapore",-66181,0,0,2.91770513035237,"SGP",0.438552439266768,0.438552439266768,4.89,0.282671808662787,4.89,0.282671808662787
"2020-05","Singapore",-66181,0,0,0.205204960076689,"SGP",0.153615383854194,0.153615383854194,2.62,0.162710073025931,2.62,0.162710073025931
"2020-06","Singapore",-31297,0,0,-0.729548468344028,"SGP",0.525447937877701,0.525447937877701,4.73,0.340155311134569,4.73,0.340155311134569
"2020-07","Singapore",-31297,0,0,-0.0837623511016883,"SGP",0.969686228355451,0.969686228355451,5.55,0.575023096260377,5.55,0.575023096260377
"2020-08","Singapore",-31297,0,0,-0.588437635956897,"SGP",0.900865493254955,0.900865493254955,4.39,0.626060702209328,4.39,0.626060702209328
"2020-09","Singapore",-31297,0,0,-1.57571726128171,"SGP",1.28980220496232,1.28980220496232,3.92,0.950861428433655,3.92,0.950861428433655
"2020-10","Singapore",-31297,0,0,-1.33815398579196,"SGP",0,0,1,NA,1,NA
"2020-11","Singapore",-31297,0,0,-0.208254938820459,"SGP",0,0,1,NA,1,NA
"2020-12","Singapore",-42847,0,0,0.629593396084914,"SGP",0.644626877920749,0.644626877920749,1.93,1,1.93,1
"2021-01","Singapore",-42847,0.00146422222222222,0.00146422222222222,0.899883907111721,"SGP",1.34666737583499,1.34666737583499,4.1,0.959860642186337,4.1,0.959860642186337
"2021-02","Singapore",-42847,1.04176796428572,1.04176796428572,-0.85121873513044,"SGP",0.568380688059155,0.568380688059155,1.82,1,1.82,1
"2021-03","Singapore",-42847,3.27409535483871,3.27409535483871,0.106609735058258,"SGP",0.589175103475953,0.589175103475953,1.85,1,1.85,1
"2021-04","Singapore",-42847,9.41941476666669,9.41941476666669,0.540493507000281,"SGP",1.10419387746681,1.10419387746681,3.23,0.955770046848399,3.23,0.955770046848399
"2021-05","Singapore",-42847,17.0425547741936,17.0425547741936,0.170471516876459,"SGP",0.297822169122754,0.297822169122754,1.6,0.764227912891526,1.6,0.764227912891526
"2021-06","Singapore",-62348,23.8572315666667,23.8572315666667,-0.539943022336718,"SGP",0.27771057333659,0.27771057333659,1.45,0.928508854797678,1.45,0.928508854797678
"2021-07","Singapore",-62348,31.7515644229391,31.7530286451613,1.51496071893367,"SGP",0.188807546244384,0.188807546244384,1.65,0.445701572603011,1.65,0.445701572603011
"2021-08","Singapore",-62348,46.7244436163594,47.7662115806451,0.0940983338633954,"SGP",0.505284666978818,0.262803454218023,2.6,0.557016525736018,1.88,0.469096052792139
"2021-09","Singapore",-62348,50.430647311828,52.5516676666667,2.39347613907469,"SGP",0.74114084717985,0.0582097474400982,3.3,0.70592839117711,2.3,0.0786004358276022
"2021-10","Singapore",-62348,51.2731395236558,53.8419072258064,1.25965440072415,"SGP",0.839092838870698,0.163685648921547,10.9,0.353818292810216,7.94,0.0791433623245235
"2021-11","Singapore",-62348,51.8612538258064,54.8160873333333,-0.42857176506533,"SGP",0.829326715523757,0.162346116533864,8.68,0.38874552297312,7.68,0.0795402042381584
"2021-12","Singapore",136493,53.466171272043,55.8332730645161,-1.50847280906832,"SGP",1.86761266846519,1.3543824213092,16.7,0.665328416527356,14.19,0.511145105344371
"2022-01","Singapore",136493,56.7172618064516,56.7172618064516,1.60951965296246,"SGP",0.759604893223195,0.641101468378586,10.77,0.321255165173654,9.77,0.283138663899363
"2022-02","Singapore",136493,52.2985782050692,58.549854,1.62184731403254,"SGP",0.141440924151876,0.141440924151876,3,0.128745077413389,3,0.128745077413389
"2019-12","Slovakia",-292550,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01","Slovakia",-292550,0,0,NA,"SVK",NA,NA,NA,NA,NA,NA
"2020-02","Slovakia",-292550,0,0,NA,"SVK",NA,NA,NA,NA,NA,NA
"2020-03","Slovakia",-292550,0,0,NA,"SVK",0.395093892919169,0.395093892919169,1.57,1,1.57,1
"2020-04","Slovakia",-292550,0,0,1.04581963485479,"SVK",0.558060486158641,0.558060486158641,1.96,0.838657391559537,1.96,0.838657391559537
"2020-05","Slovakia",-292550,0,0,-2.11190873181734,"SVK",0,0,1,NA,1,NA
"2020-06","Slovakia",-291029,0,0,0.155292884406035,"SVK",0,0,1,NA,1,NA
"2020-07","Slovakia",-291029,0,0,1.45414502802806,"SVK",0.693147180559945,0.693147180559945,2,1,2,1
"2020-08","Slovakia",-291029,0,0,0.955511445027437,"SVK",0.636514168294813,0.636514168294813,2,0.918295834054489,2,0.918295834054489
"2020-09","Slovakia",-291029,0,0,1.34290497109439,"SVK",1.21488965394912,1.21488965394912,4,0.876357639489852,4,0.876357639489852
"2020-10","Slovakia",-291029,0,0,2.07722990758777,"SVK",0,0,1,NA,1,NA
"2020-11","Slovakia",-291029,0,0,0.213784648125705,"SVK",1.837776849789,1.837776849789,12,0.739575810602698,12,0.739575810602698
"2020-12","Slovakia",-172724,0,0,0.912682383173236,"SVK",1.05731837530865,1.05731837530865,8,0.508462658899522,8,0.508462658899522
"2021-01","Slovakia",-172724,0.258379,0.258379,0.0518565720586999,"SVK",1.79645936691422,1.79645936691422,18,0.621532286290336,18,0.621532286290336
"2021-02","Slovakia",-172724,2.0206399947002,2.0206399947002,-0.0557858245094938,"SVK",1.28010220433777,1.28010220433777,15,0.472702538459867,15,0.472702538459867
"2021-03","Slovakia",-172724,4.08126269899977,4.08126269899977,-0.247335773251752,"SVK",0.411222539208862,0.409174752163357,17.46,0.143972788070178,16.75,0.145362249893787
"2021-04","Slovakia",-172724,6.50340832101975,6.50340832101975,-0.947821612866257,"SVK",0.285692984429674,0.285692984429674,9.04,0.129424660644939,9.04,0.129424660644939
"2021-05","Slovakia",-172724,12.7205948988744,12.7205948988744,-1.00393589104895,"SVK",0.0527213342147262,0.0527213342147262,1.81,0.10298077631641,1.81,0.10298077631641
"2021-06","Slovakia",357111,23.8205041676061,23.8205041676061,-1.44204311613461,"SVK",0.489118074511625,0.489118074511625,3.19,0.425767267690616,3.19,0.425767267690616
"2021-07","Slovakia",357111,31.6941769838714,31.9413166780407,-1.0272739311644,"SVK",1.58697692462362,1.56294980690417,5.34,0.952694345811002,5.23,0.949906939348421
"2021-08","Slovakia",357111,34.4006532298503,36.3612566223157,0.841097840526423,"SVK",1.95772341880778,1.88068538765295,8.76,0.907306700115045,8.16,0.903417526658103
"2021-09","Slovakia",357111,34.5083027384494,38.5928402895227,2.00208168494548,"SVK",2.2160892064845,2.10284186413935,18.7,0.758483894783376,16.15,0.757818812354847
"2021-10","Slovakia",357111,33.9874906272045,39.8748125439029,1.34622142555005,"SVK",2.33254325861426,2.21339753475484,29.42,0.690606643709869,24.16,0.695823951500017
"2021-11","Slovakia",357111,34.7076140800652,41.4040090181544,1.05395828033529,"SVK",2.21407309403241,2.08833029217824,41.47,0.59457250282854,32.55,0.599787666072983
"2021-12","Slovakia",106642,34.0329179097414,43.1230702129254,-0.300411709210763,"SVK",2.09254536164753,1.94331287609489,38.44,0.573543305008244,28.96,0.577489086413242
"2022-01","Slovakia",106642,36.4957064816379,44.8332571569639,-0.013355280827307,"SVK",1.97681467228073,1.90128463370572,22,0.639530094493843,19,0.645720508103029
"2022-02","Slovakia",106642,35.669987571534,45.6453354101692,1.02066315503527,"SVK",1.74815545724768,1.56071040904141,7,0.898374191684214,6,0.871049064255153
"2019-12","Slovenia",-105224,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01","Slovenia",-105224,0,0,NA,"SVN",NA,NA,NA,NA,NA,NA
"2020-02","Slovenia",-105224,0,0,NA,"SVN",NA,NA,NA,NA,NA,NA
"2020-03","Slovenia",-105224,0,0,NA,"SVN",0.438892433470238,0.438892433470238,1.79,0.854897208463396,1.79,0.854897208463396
"2020-04","Slovenia",-105224,0,0,-0.246162067233594,"SVN",0.517751456586881,0.517751456586881,1.86,0.938425845954108,1.86,0.938425845954108
"2020-05","Slovenia",-105224,0,0,-2.65675690671466,"SVN",NA,NA,NA,NA,NA,NA
"2020-06","Slovenia",-103751,0,0,1.05999745254033,"SVN",0,0,1,NA,1,NA
"2020-07","Slovenia",-103751,0,0,1.47658120779199,"SVN",0.770432282980547,0.770432282980547,2.32,0.953819384465581,2.32,0.953819384465581
"2020-08","Slovenia",-103751,0,0,0.268158183282937,"SVN",1.12413879769963,1.12413879769963,3.28,0.96120701513133,3.28,0.96120701513133
"2020-09","Slovenia",-103751,0,0,1.35094509882836,"SVN",1.71134315678926,1.71134315678926,7.22,0.869789786597935,7.22,0.869789786597935
"2020-10","Slovenia",-103751,0,0,2.32188464945144,"SVN",2.12734400881606,2.12734400881606,16.37,0.762744411149082,16.37,0.762744411149082
"2020-11","Slovenia",-103751,0,0,0.37186114088029,"SVN",1.77844103472288,1.77844103472288,16.43,0.637878565762572,16.43,0.637878565762572
"2020-12","Slovenia",-30883,0,0,0.110100271103711,"SVN",1.4189491236953,1.4189491236953,15.87,0.514521513516764,15.87,0.514521513516764
"2021-01","Slovenia",-30883,0.304322586206896,0.304322586206896,-0.0445037534538031,"SVN",0.988070396580789,0.988070396580789,16.37,0.35431697340972,16.37,0.35431697340972
"2021-02","Slovenia",-30883,2.13815809572589,2.13815809572589,-0.629872967720742,"SVN",1.01874507254884,1.01874507254884,11.58,0.417504952755138,11.58,0.417504952755138
"2021-03","Slovenia",-30883,3.87693104534833,3.87693104534833,0.0779160050212191,"SVN",0.937570721609144,0.937570721609144,7.78,0.466786578666716,7.78,0.466786578666716
"2021-04","Slovenia",-30883,6.35344260228253,6.35344260228253,-0.0331033393047679,"SVN",0.394902533263068,0.394902533263068,3.41,0.355621581360765,3.41,0.355621581360765
"2021-05","Slovenia",-30883,13.1308633908845,13.1308633908845,-0.608907292821943,"SVN",0.242489076207419,0.24199716025727,3.21,0.212682109109678,3.19,0.213408681471402
"2021-06","Slovenia",72684,24.5549955442442,24.5549955442442,-1.31295255836964,"SVN",0.549786406016032,0.549786406016032,3.16,0.482844504777746,3.16,0.482844504777746
"2021-07","Slovenia",72684,33.0775327164084,33.3674947166505,-0.653266675323644,"SVN",1.59701177244586,1.59701177244586,5.79,0.916605373898521,5.79,0.916605373898521
