"month","country","date","new_cases_month","index","NI_diff","mean_half_year","total_sum","F_Vero","B_Vero","infection","F_Vero_per_month","F_W_V","F_WC_V","F_B_V","F_BC_V","F_I_BWP","F_I_WP","F_I_BCWP","cut_off","NPI","T_Vero","P_Vero","travel","travel_route","GR_NCM_log_diff","F_I","total_case","sub_lineage","sub_gisaid","sub_richness","sub_evenness","month1","year","travel2"
"2021-05","Croatia",2021-05-01,23998,3,-25855,227739,1232379,8.05206896551724,0,88.8656812912574,4.74314039408867,8.05206896551724,3.30892857142857,8.05206896551724,3.30892857142857,7.1555259442488,7.1555259442488,2.94050191844107,TRUE,47.9977419354839,33.0427586206897,24.99,17411,2998,-0.925515491597158,7.1555259442488,356181,0.103880723681629,0.1813221009864,2.64,0.112864599700852,5,2021,8.00570067866254
"2021-06","Croatia",2021-06-01,3691,4,75688,252024,1232379,19.07625,0,89.4714569326124,11.0241810344828,19.07625,8.05206896551724,19.07625,8.05206896551724,17.0677988031075,17.0677988031075,7.20430341666701,TRUE,40.4646666666667,53.5575,34.48,30133,3736,-1.87207306949434,17.0677988031075,359872,0.985193443501008,0.874555669146987,5.47,0.595858028446315,6,2021,8.22577079934873
"2021-07","Croatia",2021-07-01,3743,4,75688,252024,1232379,31.9492307692308,0,89.8020680466956,12.8729807692308,31.6592307692308,19.07625,31.6592307692308,19.07625,28.430643958445,28.430643958445,17.1308670057578,TRUE,35.4393548387097,70.5753846153846,38.6253846153846,61666,5247,0.0139900048744312,28.6910699557804,363615,1.8802123029862,0.180072298850706,14.23,0.710813231726986,7,2021,8.56541176368671
"2021-08","Croatia",2021-08-01,10383,4,75688,252024,1232379,37.9710714285714,0,89.826350943663,6.0218406593406,36.8380714285714,31.6592307692308,36.8380714285714,31.6592307692308,33.0902953223058,33.0902953223058,28.4383317368334,TRUE,33.8,77.7739285714286,41.2289285714286,68592,5075,1.02028242439902,34.1080278784975,373998,2.24759698604619,0.0374146996176014,20.15,0.750321760946758,8,2021,8.53208180390999
"2021-09","Croatia",2021-09-01,30792,4,75688,252024,1232379,39.8783333333333,0,89.8493340351616,1.9072619047619,38.0883333333333,36.8380714285714,38.0883333333333,36.8380714285714,34.2221138450924,34.2221138450924,33.0987618499685,TRUE,33.8,82.2196551724138,43.4903448275862,34876,3702,1.08708506266013,35.8304169243218,404790,2.15795418460232,0.00509989396449674,18.75,0.737842028920665,9,2021,8.21662849313344
"2021-10","Croatia",2021-10-01,65558,4,75688,252024,1232379,43.0975,0,89.8675063066727,3.21916666666669,39.7885714285714,38.0883333333333,39.7885714285714,38.0883333333333,35.7569969379064,35.7569969379064,34.2290353604398,TRUE,38.9025806451613,86.3276923076923,45.9034782608696,23207,3346,0.755680331022509,38.7306485305183,470348,2.0304856232158,0,18.26,0.701496198808446,10,2021,8.11552088154677
"2021-11","Croatia",2021-11-01,137857,4,75688,252024,1232379,45.77,0,89.9959535484503,2.67250000000001,37.7179310344828,39.7885714285714,37.7179310344828,39.7885714285714,33.9446116932296,33.9446116932296,35.8081042604491,TRUE,36.946,95.5230769230769,50.6553846153846,17032,2842,0.743281669009752,41.1911479391257,608205,1.86621197957383,0,15.63,0.681920579851865,11,2021,7.95226330865705
"2021-12","Croatia",2021-12-01,107040,5,99973,528295,1232379,47.6383333333333,0,90.2883442776427,1.8683333333333,28.5620833333333,37.7179310344828,28.5620833333333,37.7179310344828,25.7882321328672,25.7882321328672,34.0548954268176,TRUE,40.74,109.963448275862,54.7603448275862,18578,3032,-0.253014319633788,43.011862408131,715245,1.9183615589663,0.0652107553751846,29.17,0.569670641715345,12,2021,8.01697774676226
"2022-01","Croatia",2022-01-01,221922,5,99973,528295,1232379,53.2188888888889,14.57,90.5383819931662,5.5805555555556,21.2696581196581,28.5620833333333,35.8396581196581,28.5620833333333,32.4486465734209,19.2572043170165,25.8596481135398,TRUE,41.5470967741935,121.104193548387,55.8486666666667,16092,2823,0.729123372402663,48.1835209147409,937167,1.80546562315945,0.680777015168217,17.41,0.634224381444895,1,2022,7.94555542825349
"2022-02","Croatia",2022-02-01,117627,5,99973,528295,1232379,54.3745833333333,14.57,90.6134127966373,1.1556944444444,16.4035119047619,21.2696581196581,30.9735119047619,35.8396581196581,28.0661561998775,14.8637819554074,32.4755373568693,TRUE,43.52,126.463928571429,56.4035714285714,17797,2976,-0.634807367833492,49.2706656522849,1054794,0.797639054873035,0.101367238323972,3.3,0.700102125345895,2,2022,7.99833539595298
