"month","country","date","F_Vero","B_Vero","VE","FW_BW_P","travel_route","GR_NCM_log_diff","new_cases_month","total_case","NPI_NV","shannon_strategy1","richness_strategy1","evenness_strategy1","redefine_shannon_strategy1","richness_redefine_strategy1","evenness_redefine_strategy1","simpson_strategy1","shannon_strategy2","richness_strategy2","evenness_strategy2","shannon_strategy3","richness_strategy3","evenness_strategy3","month1","year"
"2021-06","South Africa","2021-06-01",1.90725275,0,NA,1.69424133071518,NA,1.29560138009441,308355,1973972,51.3283333333333,2.25475007759435,33.65,0.641383627510271,2.24499591509697,31.74,0.649410408144131,0.832943605841454,2.20226762037849,19.46,0.743141706442212,2.22495940865718,22.61,0.714619084189718,6,2021
"2021-07","South Africa","2021-07-01",3.12307692307692,0,NA,2.77427624738238,NA,0.42886218047428,473482,2447454,68.2774193548387,1.78800158360445,33,0.511367858405127,1.7807738828566,31,0.518573243525986,0.663395083873254,1.73643987020642,18.11,0.600521546695424,1.75412015802288,21.75,0.570700519891205,7,2021
"2021-08","South Africa","2021-08-01",7.45882352941176,0,NA,6.5732938865019,NA,-0.360400223410664,330205,2777659,51.85,1.68807419238826,25,0.524429733929664,1.68267721631007,24,0.529467814623467,0.64700485547331,1.63516785623519,16.72,0.581416215069,1.6654955821746,18.07,0.576208540220484,8,2021
"2021-09","South Africa","2021-09-01",12.706,0,NA,11.0502839529604,NA,-0.971295941814684,125013,2902672,47.8386666666667,1.81083439737788,20.78,0.597175178602753,1.80406793722532,19.85,0.604092777520103,0.7054339584,1.78480918142406,16.32,0.640282137776361,1.76746660869188,15.71,0.64292748674773,9,2021
"2021-10","South Africa","2021-10-01",17.8730769230769,0,NA,15.4432640439823,NA,-1.86087919271147,19444,2922116,48.15,2.02986209500372,15.87,0.735862975355421,2.01700046774218,15.22,0.742374871483726,0.778835157827612,2.08575526695566,19.87,0.698405695147389,1.99315307441819,14.29,0.753116316381674,10,2021
"2021-11","South Africa","2021-11-01",22.7633333333333,0,NA,19.6068052832684,NA,0.34117798968478,27350,2949466,49.076,2.47725570250873,23,0.790068656457285,2.31869336435532,19,0.787482226923831,0.841335162322817,2.47725570250873,23,0.790068656457285,1.91692671758234,9.25,0.870030560289684,11,2021
"2021-12","South Africa","2021-12-01",25.8855,0,NA,21.30023801463,NA,2.88616629926589,490234,3439700,56.5732258064516,2.22871911319489,18,0.771083895040934,1.55520137630555,12,0.625859074600742,0.832902892561983,2.22871911319489,18,0.771083895040934,1.85622860811217,8.63,0.870918311072599,12,2021
"2022-01","South Africa","2022-01-01",27.375,0.844166666666667,NA,22.2932343303357,NA,-1.20488571030765,146936,3586636,44.44,1.2300830082048,8,0.591544885272949,1.2300830082048,8,0.591544885272949,0.52625,1.2300830082048,8,0.591544885272949,0.890944513532856,3.48,0.751453390005694,1,2022
"2022-02","South Africa","2022-02-01",28.581875,1.386875,NA,19.9959065613251,NA,-0.758502717456901,68820,3655456,43.2507142857143,1.00424247305408,3,0.914100892018565,1.00424247305408,3,0.914100892018565,0.612244897959184,1.00424247305408,3,0.914100892018565,0.31550911004591,1.48192771084337,0.975792499555635,2,2022
"2022-03","South Africa","2022-03-01",29.6465384615385,2.95846153846154,NA,17.6765812710987,NA,-0.426811646761854,44911,3700367,39.8432258064516,1.35516078598525,10,0.588538851445067,1.31771877608555,9,0.599719659827889,0.561322568242983,1.35516078598525,10,0.588538851445067,1.04643817847634,4.28,0.734373176766406,3,2022
"2022-04","South Africa","2022-04-01",30.548,4.212,NA,15.0017563883682,NA,0.474369405438573,72172,3772539,42.964,1.17664814903859,10,0.511011798269135,0.758425385943476,6,0.423285267341285,0.469442942130882,1.17664814903859,10,0.511011798269135,0.826299828593296,3.45,0.684468259470598,4,2022
"2022-05","South Africa","2022-05-01",31.2403225806452,4.99451612903226,NA,11.9671680390016,NA,0.836855646835803,166652,3939191,43.52,1.46813993901621,5,0.912206632932989,1.2406842919534,4,0.894964537655,0.743801652892562,1.46813993901621,5,0.912206632932989,0.57166071685164,2.03092783505155,0.968232688968005,5,2022
"2022-06","South Africa","2022-06-01",31.8833333333333,5.626,NA,10.3249345494554,NA,-1.54168191433734,35667,3974858,33.797,2.03301467692075,10,0.882927055815004,1.57824737306975,7,0.811058708869959,0.8384,2.03301467692075,10,0.882927055815004,1.28435447965458,4.13,0.953192059698992,6,2022
"2022-07","South Africa","2022-07-01",32.2072,5.9536,NA,8.82964623683554,NA,-1.11634791414444,11680,3986538,11.11,1.74786809746676,6,0.975503759006108,1.15374194270109,4,0.832248889600231,0.816326530612245,1.74786809746676,6,0.975503759006108,0.506408792755544,1.85185185185185,0.99436210268382,7,2022
"2022-08","South Africa","2022-08-01",32.4503571428571,6.14571428571429,NA,7.66204801323903,NA,-0.539045425608549,6813,3993351,11.11,0.562335144618808,2,0.811278124459133,0.562335144618808,2,0.811278124459133,0.375,0.562335144618808,2,0.811278124459133,0.121209639466164,1.17647058823529,0.990921759339388,8,2022
"2022-09","South Africa","2022-09-01",32.6055172413793,6.25310344827586,NA,5.55396965320007,NA,0.0468802245599615,7140,4000491,11.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2022
"2020-01","South Korea","2020-01-01",0,0,NA,0,NA,NA,10,10,0.0896774193548387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2020
"2020-02","South Korea","2020-02-01",0,0,NA,0,NA,5.74907446384791,3139,3149,36.558275862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020
"2020-03","South Korea","2020-03-01",0,0,NA,0,NA,0.748605094468383,6636,9785,62.5787096774194,1.73521804031793,7.24,0.880746201883824,1.73521804031793,7.24,0.880746201883824,0.796253443526171,1.80890216584581,10,0.785596228929675,1.4446418598735,4.95,0.919868908646485,3,2020
"2020-04","South Korea","2020-04-01",0,0,NA,0,NA,-1.90458195356247,988,10773,66.6376666666667,1.12297157322055,3.41,0.931960630759917,1.12297157322055,3.41,0.931960630759917,0.6368,1.59680433547332,7,0.820595101088568,0.562092984335471,2,0.963968013055033,4,2020
"2020-05","South Korea","2020-05-01",0,0,NA,0,NA,-0.30400896573921,729,11502,43.5625806451613,0.357022892162456,1.65,0.835844761895143,0.357022892162456,1.65,0.835844761895143,0.23125,0.716042691243238,15,0.264412635685926,0.490894029577431,3.27,0.424731518152426,5,2020
"2020-06","South Korea","2020-06-01",0,0,NA,0,NA,0.613961444401705,1347,12849,53.6716666666667,0.34796155757701,1.79,0.681207992798356,0.34796155757701,1.79,0.681207992798356,0.210612244897959,0.590828631674132,8.13,0.28280424761307,0.480919075672591,3.13,0.43605740071222,6,2020
"2020-07","South Korea","2020-07-01",0,0,NA,0,NA,0.0982080488673409,1486,14335,53.4787096774194,1.05565920651751,3.53,0.852188614324406,1.05565920651751,3.53,0.852188614324406,0.582857142857143,1.68910698188439,19.24,0.571692562611497,1.44425291472944,6.74,0.765281542912085,7,2020
