"month","country","date","F_I_BWP","GR_NCM_log_diff","NPI","travel","travel_route","code","sub_lineage","sub_richness","sub_evenness"
"2020-10","Brazil",18536,0,-0.225404741545637,62.6512903225806,20137,2546,"BRA",1.56829141412061,17,0.553538058618396
"2020-11","Brazil",18567,0,0.110046644341105,56.1126666666667,22465,2920,"BRA",1.84382920986063,26,0.565922215116535
"2020-12","Brazil",18597,0,0.509877900377019,63.7841935483871,24263,3084,"BRA",1.65674512427142,17,0.584758337294682
"2021-01","Brazil",18628,0,0.131652107929845,68.1164516129032,21590,2845,"BRA",1.59736144832199,28,0.479370771945206
"2021-02","Brazil",18659,0.281440159307821,-0.123839187534333,71.6607142857143,20901,2765,"BRA",1.42428658163806,28,0.427430722600869
"2021-03","Brazil",18687,1.344867285216,0.491077984324935,68.9203225806452,18569,2499,"BRA",1.10601974539471,25,0.343604353063229
"2021-04","Brazil",18718,3.40279047642187,-0.142864831850288,66.8506666666667,18447,2537,"BRA",0.936096243366073,30,0.275225498059335
"2021-05","Brazil",18748,7.05457074166684,-0.0152476431416559,60.1090322580645,20387,2628,"BRA",1.0086794434646,28,0.302706343618616
"2021-06","Brazil",18779,8.84600583960811,0.0665804824529239,61.76,20482,2596,"BRA",1.1112583626847,35,0.312559654769544
"2021-07","Brazil",18809,12.2083419826332,-0.397857990259773,57.658064516129,21876,2749,"BRA",1.53333014716022,52.72,0.386780353061348
"2021-08","Brazil",18840,18.5099251669918,-0.448756676869603,51.748064516129,21815,2735,"BRA",2.19691893855824,57.75,0.541857285236093
"2021-09","Brazil",18871,26.9696036606082,-0.502253466955931,54.17,21861,2700,"BRA",1.93117289724148,45.86,0.505048920305575
"2021-10","Brazil",18901,36.3369168690607,-0.312110306489581,49.988064516129,20800,2823,"BRA",1.86512714543306,42.25,0.498575384224739
"2021-11","Brazil",18932,43.4206318596318,-0.291803778993053,49.4746666666667,22403,3219,"BRA",2.00795963188511,36.65,0.557876888246624
"2021-12","Brazil",18962,50.1343901627095,-0.398394290496588,61.57,25628,3242,"BRA",2.1451523395918,37.38,0.59275504693257
"2022-01","Brazil",18993,53.5841611848913,2.80610937923186,61.57,26661,3333,"BRA",1.94794380313497,21,0.639819164739535
"2022-02","Brazil",19024,55.6612871698868,0.0496202163328032,61.57,26418,3302,"BRA",0.867563228481461,3,0.789690082142847
"2019-12","Bulgaria",18231,0,NA,NA,NA,465,NA,NA,NA,NA
"2020-01","Bulgaria",18262,0,NA,NA,NA,460,"BGR",NA,NA,NA
"2020-02","Bulgaria",18293,0,NA,NA,NA,847,"BGR",NA,NA,NA
"2020-03","Bulgaria",18322,0,NA,58.065,2608,2310,"BGR",0.561449216253555,1.81,1
"2020-04","Bulgaria",18353,0,1.02044751581877,72.2866666666667,1998,1942,"BGR",0.899333326123068,2.82,0.879613291808386
"2020-05","Bulgaria",18383,0,-0.0946780399900744,61.2309677419355,3209,1712,"BGR",1.03972077083992,3,0.946394630357186
"2020-06","Bulgaria",18414,0,0.899668741085924,39.443,9196,2227,"BGR",NA,NA,NA
"2020-07","Bulgaria",18444,0,0.995612414168684,37.6332258064516,15398,3072,"BGR",0.693147180559945,2,1
"2020-08","Bulgaria",18475,0,-0.381431514913537,39.1590322580645,17337,3391,"BGR",1.41848366194566,5,0.881353453268883
"2020-09","Bulgaria",18506,0,-0.00196871987463432,36.9166666666667,16112,3235,"BGR",1.83102048111352,7,0.940958390089299
"2020-10","Bulgaria",18536,0,1.94722305952837,37.2493548387097,11995,2636,"BGR",1.56071040904141,5,0.969723899868247
"2020-11","Bulgaria",18567,0,1.06065326194191,49.261,8615,2376,"BGR",1.02965301406457,3,0.93723056321613
"2020-12","Bulgaria",18597,0,-0.484278257038328,53.91,8369,2075,"BGR",2.13585449795,16,0.770346673063215
"2021-01","Bulgaria",18628,0.09339,-1.24018572229362,53.7,6041,2034,"BGR",1.48749222298313,11.3,0.615228643154524
"2021-02","Bulgaria",18659,0.301838071558435,0.540239508972284,53.7,6868,2166,"BGR",0.435996840944599,7.86,0.211528379587037
"2021-03","Bulgaria",18687,0.796853106033411,1.21761213212089,55.5545161290323,7411,2177,"BGR",0.14836369328174,5.52,0.0880233252982289
"2021-04","Bulgaria",18718,1.68200420204529,-0.437075126102423,52.4053333333333,8057,2241,"BGR",0.0325099256599565,2.31,0.0404226350847237
"2021-05","Bulgaria",18748,5.10075916970195,-1.47001471665051,49.9435483870968,9046,2284,"BGR",0.0340503942278874,1.46,0.106792032375842
"2021-06","Bulgaria",18779,9.02524986195976,-1.47376048299587,57.528,14885,3266,"BGR",0.759782119317784,3.56,0.618015295287047
"2021-07","Bulgaria",18809,11.1580763663732,-0.00833724143782888,42.59,28025,3638,"BGR",1.98938754434003,8.73,0.922129317578346
"2021-08","Bulgaria",18840,13.5993090705017,2.25293874845329,20.37,31011,4471,"BGR",2.34413547732187,21.65,0.763832409129868
"2021-09","Bulgaria",18871,15.28767140243,0.413858702145264,39.723,16635,3569,"BGR",2.42454738501611,25.8,0.746981292370925
"2021-10","Bulgaria",18901,16.4129670462172,0.77073435209123,49.4909677419355,11840,2817,"BGR",2.4381324218243,29.53,0.720822441282206
