20,0.2923,0.16872,-0.032763
40,0.31188,0.20956,0.06106
60,0.32155,0.23351,0.038591
80,0.33429,0.25081,0.091721
100,0.34381,0.2768,0.143
120,0.36029,0.29343,0.14443
140,0.37455,0.30105,0.20978
160,0.39025,0.30944,0.21984
180,0.37723,0.32701,0.23703
200,0.4085,0.3388,0.25017
220,0.40877,0.33903,0.2601
240,0.40687,0.34707,0.25874
260,0.41312,0.35605,0.28206
280,0.42294,0.36441,0.2529
300,0.42511,0.3681,0.28473
320,0.42767,0.36678,0.31112
400,0.44123,0.38641,0.32683
480,0.44744,0.40846,0.35104
560,0.45303,0.41387,0.36999
640,0.46131,0.42339,0.37329
720,0.46984,0.43252,0.37979
800,0.47709,0.43824,0.38002
880,0.48082,0.44546,0.41151
960,0.48788,0.45126,0.3974
1040,0.49369,0.45134,0.41384
1120,0.48035,0.4507,0.41915
1200,0.48175,0.45116,0.41779
1280,0.48745,0.45686,0.41326
1360,0.48633,0.4529,0.4151
1440,0.49321,0.44947,0.41513
