20,0.24445,0.12687,-0.048449
40,0.2658,0.166,0.023784
60,0.27691,0.19481,0.014808
80,0.26676,0.20416,0.072591
100,0.2912,0.21206,0.055316
120,0.29258,0.21405,0.074167
140,0.29801,0.22202,0.13368
160,0.2957,0.23683,0.13556
180,0.29695,0.23023,0.15289
200,0.30245,0.24048,0.15736
220,0.30078,0.25048,0.17519
240,0.30927,0.25363,0.19262
260,0.30876,0.25323,0.18149
280,0.31604,0.26126,0.20161
300,0.30937,0.26959,0.19806
320,0.31903,0.26695,0.20834
400,0.32411,0.27548,0.20244
480,0.33478,0.29141,0.242
560,0.33183,0.29402,0.24041
640,0.33997,0.29912,0.24625
720,0.33988,0.29764,0.25737
800,0.33256,0.29834,0.25864
880,0.32788,0.29568,0.24624
960,0.32559,0.29365,0.25143
1040,0.32928,0.29167,0.26895
1120,0.32546,0.28537,0.24872
1200,0.31453,0.28654,0.25559
1280,0.31778,0.27849,0.24688
1360,0.31475,0.27429,0.24057
1440,0.30879,0.27694,0.25099
