20,0.4474,0.29853,0.10974
40,0.48594,0.39175,0.25997
60,0.51912,0.43869,0.30557
80,0.52627,0.45356,0.31899
100,0.55202,0.47438,0.37064
120,0.54426,0.49761,0.42542
140,0.54275,0.50227,0.42046
160,0.55586,0.50996,0.45639
180,0.57103,0.52619,0.44606
200,0.57412,0.52684,0.45122
220,0.57171,0.529,0.47571
240,0.58206,0.53695,0.49312
260,0.57545,0.54153,0.4837
280,0.58516,0.54001,0.49747
300,0.58677,0.5451,0.49224
320,0.5842,0.55134,0.50837
400,0.59894,0.55966,0.5233
480,0.6092,0.56795,0.53266
560,0.60374,0.57688,0.54689
640,0.61147,0.58143,0.55327
720,0.61333,0.5853,0.55054
800,0.61785,0.58612,0.55475
880,0.62488,0.59596,0.56838
960,0.61677,0.59865,0.56775
1040,0.62707,0.60238,0.57841
1120,0.62223,0.599,0.57672
1200,0.62548,0.60174,0.58077
1280,0.62449,0.60317,0.57589
1360,0.62862,0.6053,0.58091
1440,0.62813,0.60752,0.57876
