20,0.31267,0.20998,0.00578
40,0.32535,0.23675,0.0050835
60,0.35964,0.29511,0.17668
80,0.36032,0.30309,0.19998
100,0.37482,0.32026,0.22006
120,0.38071,0.33576,0.26423
140,0.38031,0.333,0.26619
160,0.37521,0.3314,0.26961
180,0.38277,0.33574,0.27794
200,0.37761,0.33863,0.29392
220,0.3815,0.34511,0.26829
240,0.37988,0.34306,0.26808
260,0.37573,0.3403,0.27654
280,0.38172,0.34138,0.29133
300,0.37666,0.33928,0.293
320,0.38237,0.3413,0.29384
400,0.37672,0.33485,0.29432
480,0.36098,0.32947,0.28326
560,0.36321,0.32437,0.27246
640,0.35311,0.31836,0.27182
720,0.35798,0.31076,0.26315
800,0.34371,0.30875,0.25846
880,0.3507,0.30389,0.26195
960,0.33921,0.30706,0.26732
1040,0.32795,0.29689,0.2523
1120,0.33072,0.30242,0.25606
1200,0.32528,0.29922,0.25402
1280,0.32016,0.28737,0.25606
1360,0.32967,0.28673,0.2511
1440,0.32078,0.28738,0.2499
